repository,shelfmark,title,date,origin,cats,n_cats,digitisation,digitisation_url,catalogue_url,languages,n_uncertainties
"Stuttgart, Württembergische Landesbibliothek",Cod. HB XI 16 (Weingarten K 82),Alemannic medical miscellany with Ortolf Arzneibuch and regional recipe collection,Part I: 15th century; Part II: 16th century,"Not stated; ‘Weingarten K 82’ is a former shelfmark/context, not proof of production origin.",HMA,3,catalogue-only,,https://www.handschriftencensus.de/14816,Latin; Alemannic German,4
The British Library,Add. 17987,Iatromathematisches Hausbuch (Schürstab-Fassung),1446,Upper Rhine,MAN,3,partially digitised,https://iconographic.warburg.sas.ac.uk/object-wpc-wid-aloq,https://kdih.badw.de/datenbank/handschrift/87/1/4,German (Alemannic),2
"University of Pennsylvania, Kislak Center for Special Collections, Rare Books and Manuscripts",LJS 463,Medical and astrological miscellany (Iatromathematisches Hausbuch),1443,"Buchau (near Biberach), southern Germany, northeast of Lake Constance.",MAN,3,fully digitised,https://openn.library.upenn.edu/Data/0001/html/ljs463.html,https://find.library.upenn.edu/catalog/9948425633503681,German (Middle High German); Latin (calendar and colophon),2
"University of Pennsylvania, Kislak Center for Special Collections, Rare Books and Manuscripts",Oversize LJS 449,Medical and astronomical miscellany,circa 1446,Southwestern Germany (catalogue fact; no narrower city is supplied).,MAN,3,fully digitised,https://openn.library.upenn.edu/Data/0001/html/ljs449.html,https://find.library.upenn.edu/catalog/9948381663503681,Latin; German (lower Alemannic with Middle German idioms),2
Universitätsbibliothek Heidelberg,Cod. Pal. germ. 300,"Konrad von Megenberg, Buch der Natur",Around 1443–1451 (Heidelberg digital exhibit); KdiH around 1455,"Alsace, Diebold Lauber workshop; precise place unknown.",HAN,3,fully digitised,https://digi.ub.uni-heidelberg.de/diglit/cpg300,https://kdih.badw.de/datenbank/handschrift/22/1/9,Alsatian German,2
Universitätsbibliothek Tübingen,Md 2,,Mitte 15. Jahrhundert,Württemberg (Ulm/Urach area),MAN,3,fully digitised,http://idb.ub.uni-tuebingen.de/diglit/Md2,https://kdih.badw.de/datenbank/handschrift/11/4/43,"German, Niederalemannisch with Rheinfränkisch influences",2
Badische Landesbibliothek Karlsruhe,Cod. St. Blasien 14,"Konrad von Megenberg, Buch der Natur (Prologfassung; ohne Schlussverse)",um 1427–1429; alternatively um 1430,Rottweil? (uncertain BLB catalogue attribution); Alemannic-Swabian writing language.,HN,2,fully digitised,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/2765423,https://www.handschriftencensus.de/7698,Middle High German / alemannic-Swabian (catalogued Schreibsprache),6
Badische Landesbibliothek Karlsruhe,Cod. Lichtenthal 31,Philosophisch-naturwissenschaftliche Sammelhandschrift; qualifying medical and botanical Part III,Part III: 15th century; other parts 13th–14th centuries,Composite catalogue attribution: Paris (?)/Erfurt/northern Upper Rhine; unit-level allocation unresolved,HM,2,fully digitised,https://digital.blb-karlsruhe.de/id/1157612,https://www.handschriftencensus.de/9472,Latin; German,3
"Badische Landesbibliothek, Karlsruhe",Cod. St. Georgen 81,Astrologisch-astronomische Sammlung,Um 1425,Oberrhein (Basel? Konstanz?),AN,2,catalogue-only,,https://kdih.badw.de/datenbank/handschrift/11/4/24,German,3
"Badische Landesbibliothek, Karlsruhe",Cod. Donaueschingen 792,"Haus- und Arzneibuch; Buch vom Menschen, Tier und Garten",circa 1450,Region west of Lake Constance (Obhof’s scholarly localization); Eastern High Alemannic writing language.,HM,2,partially digitised,https://d-nb.info/1254211233/34,https://handschriftencensus.de/10636,German (Eastern High Alemannic); Latin,3
"Basel, Universitätsbibliothek",UBH D II 13,Medical miscellany,First half 15th century; units dated 1402 and 1434,Basel is directly supported for the 1402 unit; the whole composite's origin is not necessarily Basel.,HM,2,fully digitised,http://dx.doi.org/10.7891/e-manuscripta-184067,https://swisscollections.ch/Record/991170454142105501,Latin; German,1
Bayerische Staatsbibliothek,Cgm 28,Iatromathematisches Hausbuch (Schürstab-Fassung),Middle of the 15th century,Swabian region,MA,2,fully digitised,https://digitale-sammlungen.de/de/view/bsb00092991?page=67,https://kdih.badw.de/datenbank/handschrift/87/1/6,German (Swabian),3
Bayerische Staatsbibliothek München,Cgm 303,"Iatromathematical, legal, pest and medical-recipe miscellany",1452,Swabian linguistic area (catalogue: Schreibsprache schwäbisch); precise town not established.,MA,2,fully digitised,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00150279-4,https://handschriftencensus.de/6023,German; Latin,2
"Bayerische Staatsbibliothek, Munich",Cgm 595,Collection of astronomical treatises and tables,First half to middle of 15th century,East Swabia,AN,2,fully digitised,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00164637-3,https://kdih.badw.de/datenbank/handschrift/11/4/31,Latin; German,3
"Bayerische Staatsbibliothek, München",Cgm 590,"Konrad von Megenberg, Buch der Natur; Gottfried von Franken, Pelzbuch",Second quarter of 15th century,East Swabia.,HA,2,fully digitised,http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb00088622-6,https://kdih.badw.de/datenbank/handschrift/22/1/15,East Swabian German,3
Bibliothèque nationale et universitaire de Strasbourg,Ms. 7.141,Almanach médical et astrologique,vers 1445 (catalogue date: 1445),"Strasbourg, Basel, or southern Alsace region (inferred from the calendar's Strasbourg/Basel/southern Alsace traits; not merely repository location). The manuscript was wrongly attributed to the Diebold Lauber workshop, so that attribution should not be used as origin evidence.",MA,2,fully digitised,https://www.numistral.fr/ark:/12148/btv1b10102965r,https://calames.abes.fr/pub/ms/Calames-2018430144233001,Alsatian,3
"Formerly Ulm, Schermar-Bibliothek; now private ownership",Ms. Med. 8,,Mitte bis 2. Hälfte 15. Jahrhundert,Ostschwäbisch,AN,2,catalogue-only,,https://kdih.badw.de/datenbank/handschrift/11/4/44,"German, Ostschwäbisch",2
"Luzern, Staatsarchiv",PA 261/1,Schüpfheimer Codex (Iatromathematisches Corpus / medical house book),2nd quarter of the 15th century (approximately 1425–1450); archival record gives c.1425–1450,"Exact origin unknown. Script and language suggest the Southern Alemannic region; a scholarly linguistic assessment places it in the east of the southern Black Forest. The codex was discovered on a loft in Schüpfheim (Canton Lucerne), which is contemporary/local discovery evidence but not proof of production.",MA,2,fully digitised,https://www.e-codices.unifr.ch/en/list/one/stalu/PA-0261,https://www.handschriftencensus.de/22759,German (High Alemannic/Southern Alemannic),4
"Nicolaus-Matz-Bibliothek, Kirchenbibliothek, Michelstadt",Cod. D 684,"Konrad von Megenberg, Buch der Natur, with Johannes Hartlieb, Kräuterbuch",Um 1450–1460,Southwest Germany; exact centre unknown.,HN,2,catalogue-only,,https://kdih.badw.de/datenbank/handschrift/70/2/6,Alemannic German,2
Staatsbibliothek zu Berlin,mgq 1019,Latin-German medical miscellany with Rheinische Kräuterbuchkompilation,3rd quarter 15th century (catalogue also gives general 15th century),Likely Swabian writing area on dialect evidence; no exact town stated.,HM,2,catalogue-only,,https://handschriftencensus.de/11908,German (Swabian); Latin,4
Stiftsbibliothek St. Gallen,Cod. Sang. 678 (former shelfmark D.n. 293),"Theological, Council of Constance-documenting, astrological and medical miscellany",15th century (broad; some constituent material bears a 1403 date in its exemplar/colophon),"Southwestern Germany (catalogue inference from script, German writing dialect, and content).",MA,2,fully digitised,https://e-codices.ch/en/csg/0678/1,https://e-codices.ch/en/description/csg/0678/Lenz,Latin; German (including Alemannic and Bavarian/Swabian dialect features),5
Stiftsbibliothek St. Gallen,Cod. Sang. 1164,Sammelhandschrift teilweise medizinischen Inhalts,15th century; one separate fragment dated 1495,Alemannic region; Konstanz (?),HM,2,fully digitised,http://www.e-codices.unifr.ch/de/list/one/csg/1164,http://e-codices.unifr.ch/en/csg/1164,German,4
Universitätsbibliothek Augsburg,Cod. II.1.4º 61,Astronomisch-astrologische Sammlung mit lateinischem Quadrivium-Traktat und Hermann Schedels Pesttraktat,3. Viertel 15. Jahrhundert,,MA,2,fully digitised,https://nbn-resolving.org/urn:nbn:de:bvb:384-uba003089-7,https://kdih.badw.de/datenbank/handschrift/11/4/1,Latin; German,3
Universitätsbibliothek Augsburg,Cod. III.1.4º 1,Komputistische Sammelhandschrift mit medizinischen und algorismischen Einschüben,"1400–1405, Nachträge bis um 1414",Ulm,MA,2,fully digitised,https://nbn-resolving.org/urn:nbn:de:bvb:384-uba006048-1,https://kdih.badw.de/datenbank/handschrift/11/4/2,German; Latin,3
Universitätsbibliothek Frankfurt am Main,Ms. Carm. 1,"Konrad von Megenberg, Buch der Natur",Um 1440,"Alsace, Diebold Lauber workshop (expert/catalogue localisation); Alsatian writing language.",HN,2,fully digitised,https://sammlungen.ub.uni-frankfurt.de/msma/content/titleinfo/1971583,https://kdih.badw.de/datenbank/handschrift/22/1/7,Alsatian German,2
Universitätsbibliothek Heidelberg,Cod. Pal. germ. 638 (Cpg 638),Medizinische Rezeptsammlung,2nd quarter of the 15th century (c. 1425–1450; catalogue also specifies Elsass/Basel),"Alsace/Basel; the specialist catalogue cited by Handschriftencensus identifies Basel as the writing place, while the Heidelberg primary catalogue gives the broader Elsass/Basel attribution.",HM,2,fully digitised,https://digi.ub.uni-heidelberg.de/diglit/cpg638,https://handschriftencensus.de/10434,High Alemannic German; Latin (including some recipe/text elements),2
Universitätsbibliothek Heidelberg,Cod. Pal. germ. 286 (Cpg 286),"Konrad von Megenberg, Buch der Natur (Prologfassung); followed by Gottfried von Franken, Pelzbuch excerpt",1442,"Swabian-speaking southern Upper German region; origin is supported by the dialect classification, not merely by present repository.",HN,2,fully digitised,https://digi.ub.uni-heidelberg.de/cpg286,https://www.handschriftencensus.de/10379,German (Swabian dialect),3
Württembergische Landesbibliothek Stuttgart,HB XI 28,,3. Viertel 15. Jahrhundert,Schwaben,AN,2,fully digitised,http://nbn-resolving.de/urn:nbn:de:bsz:24-digibib-kxp187161208X8,https://kdih.badw.de/datenbank/handschrift/11/4/42,"German, Schwäbisch",3
Württembergische Landesbibliothek Stuttgart,Cod. med. et phys. 2º 14,"Konrad von Megenberg, Buch der Natur",Um 1440; approximately 1440–1444 in institutional art-historical account,"Haguenau/Alsace, Diebold Lauber workshop.",HN,2,partially digitised,http://nbn-resolving.de/urn:nbn:de:bsz:24-digibib-bsz3668346817,https://kdih.badw.de/datenbank/handschrift/22/1/20,Alsatian German,4
"Württembergische Landesbibliothek, Stuttgart",Cod. HB XI 13,"Medical miscellany, including German Macer, Eichenmisteltraktat and a German health regimen",Third quarter of the 15th century (approximately 1450–1475),Alemannic linguistic area (scholarly dialect attribution).,HM,2,catalogue-only,,https://www.handschriftencensus.de/14813,German (Alemannic),4
"Zürich, Zentralbibliothek (on long-term loan in St Gallen Abbey Library)",Ms. C 101,Gallus Kemli: Diversarius multarum materiarum (Latin and German pieces),15th century; constituent units not individually dated (possible 1400–1455 overlap),"St Gallen (catalogue statement); associated with Gallus Kemli, the itinerant monk of St Gallen (d. 1481).",MA,2,fully digitised,http://e-codices.ch/en/list/one/zbz/C0101,http://e-codices.ch/en/description/zbz/C0101/,Latin; German,2
"Österreichische Nationalbibliothek, Wien",Cod. 3072,Gesund durch das Jahr: astrologisch-medizinischer Sammelband,27 March 1425 (178v),Meßkirch,MA,2,catalogue-only,,https://kdih.badw.de/datenbank/handschrift/87/2/23,German (Schwäbisch; possibly Alemannic/Swabian),2
